DAY,DATE/TIME,LOCATION,INVOLVED/ESTABLISHMENT NAME/OWNER/s-OCCUPANT/S,CAUSE/ORIGIN of FIRE/NATURE OF CASE,LEVEL OF ALARM,KILLED,INJURED, FAI's ,STATUS of CASE/AMOUNT of DAMAGE/                              FAI-on-Case
F,02 Dec 2022 2204H,"Freedom Park Buendia cor. Ayala Ave. Ext. Brgy. San Antonio, Makati City",Non_Structural/Post Fire/Meralco,Electrical ignition caused by overloading,Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php1,000.00"
F,02 Dec 2022 2142H,"1590 Iriga St., Brgy.San Antonio, Makati City",4 Storey Residential/Single Family Dwelling/Alteria Land Inc,Electrical Ignition caused by Arcing,Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php1,000.00"
M,05 Dec 2022 1602H,"85 Alligator St., Brgy. Rizal, Makati City",Residential/Single Family Dwelling/                                                 No. of Affected Structrure: 1,Open flame from Cooking (firewood),1st Alarm,Negative,Negative,SFO1 Umnas/SFO1 Balleta,"Php5,000.00"
M,05 Dec 2022   1655H,"5895 Zobel Roxas cor. Arellano St., Brgy. Palanan, Makati City",Residential(informal settlers)/Single Family Dwelling/                                           No. of Affected Structrure: 1,Fire Under Investigation (on process)                                                 Cause: ,1st Alarm,Negative,Negative,SFO1 Umnas/SFO1 Balleta,"Php25,000.00"
W,07 Dec 2022 1152H,"0051 Daffodil St., Zone 1 Brgy Rizal, Makati City",Non_Structural/Post Fire/Meralco,electrical ignition caused by loosed connection,Fireout Upon Arrival,Negative,Negative,SFO1 Umnas/SFO1 Balleta,Php500.00
TH,08 Dec 2022  0445H,"B109 Lot 24 Ricarte St., Brgy Rizal, Makati City",Residential/Single Family Dwelling/,Unattended lighted candle,Fireout Upon Arrival,Negative,Negative,SFO1 Umnas/SFO1 Balleta,Php500.00
TH,08 Dec 2022   0736H,"6750 Ayala Office Tower, Ayala Ave, Brgy San Lorenzo, Makati City",Non_Residential/Mercantile/Starbucks Coffee/,Electrical ignition caused by loosed connection,Fireout Upon Arrival,Negative,Negative,SFO1 Umnas/SFO1 Balleta,"Php1,000.00"
SA,10 Dec 2022  1916H,"Blk 55 Lot 12 Mansanas St., Zone 1, Brgy. Rizal, Makati City",Non_Structural/Post Fire/Meralco,electrical ignition caused by loosed connection,Fireout Upon Arrival,Negative,Negative,SFO1 Umnas/SFO1 Balleta,Php500.00
SA,10 Dec 2022 2021H,"0005 Kalaw St., Zone 1, Brgy. Rizal, Makati City",Residential/Single Family Dwelling,electrical ignition caused by loosed connection,Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla",Php500.00
M,12 Dec 2022 1028H,"#130 Caimito St., Brgy. Cembo, Makati City",3 Storey Residential/Single Family Dwelling/                                                             No. of Affected Structrure: 1,Fire Under Investigation (on process)  ,1st Alarm,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php180,000.00"
M,12 Dec 2022  2003H,"Malvar St., cor. MH Del Pilar St., Brgy. Rizal, Makati City",3 Storey Residential/Single Family Dwelling/,Open flame from Unattended Cooking (Stove),Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla",Php500.00
M,12 Dec 2022  2203H,"#7409 Infanta St., Brgy. Olympia, Makati City",3 Storey Residential/Single Family Dwelling/,Open flame from unattended lighted candle,No Alarm,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla",Php600.00
W,14 Dec 2022  1819H,"#1178 Pablo Ocampo St., Brgy. Sta. Cruz, Makati City",7 Storey Non_Residential/Business/,Ignition of materials caused by acetylene/hotworkks,Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php1,000.00"
TH,15 Dec 2022  1249H,"J.P Rizal cor. Ilaya Sts., Brgy. Poblacion, Makati City",Transport/Automobile/Nissan Frontier/,Ignition of materials caused by acetylene/hotworkks,Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php1,000.00"
TH,15 Dec 2022   1600H,"Juno Junk Shop Zobel Roxas, Brgy. La Paz, Makati City",Non_Structural/Rubbish Fire/,Smoking (lighted cigarette),No Alarm,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla",Php0.00
SU,18 Dec 2022 2252H,"151-0 18th Ave., cor. Mapayapa St., Brgy. East Rembo, Makati City",Residential/Single Family Dwelling/,Open flame from Cooking(Stove),Fireout Upon Arrival,Negative,," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php1,000.00"
TU,20 Dec 2022 2245H,"2969 A Bonifacio St., Brgy. Poblacion, Makati City",Non_Structural/Post Fire/Meralco,Electrical ignition caused by loosed connection,No Alarm,Negative,Negative,SFO1 Pacubat/SFO1 Balleta,Php500.00
W,21 Dec 2022 0023H,"8439 Kalayaan Ave., Brgy. Poblacion, Makati City",Non_Residential/Mercantile/Toker Bar & Restaurant/Mr Harry Cui/With FSIC,Open flame from Cooking (Grilling Machine),Fireout Upon Arrival,Negative,Negative,SFO1 Pacubat/SFO1 Balleta,Php500.00
F,23 Dec 2022 1512H,"North EDSA (Bus Stop), Brgy. Magallanes, Makati City",Transport_Automobile Hyundai Accent PN,Electrical Ignition caused by Arcing,No Alarm,Negative,Negative,SFO1 Pacubat/SFO1 Balleta,"Php10,000.00"
SA,24 Dec 2022 1346H,"264 Blk. 8, T. Alonzo St., Brgy. West Rembo, Makati City",Residential_Single/ ,Open Flame from Cooking,No Alarm,Negative,Negative,SFO1 Pacubat/SFO1 Balleta,Php200.00
SA,24 Dec 2022 1833H,"#7166 M. Ocampo St., Brgy. Pio del Pilar, Makati City",Non_Structural/Post Fire/Meralco/Makati LGU,Electrical ignition caused by loosed connection,Fireout Upon Arrival,Negative,Negative,SFO1 Pacubat/SFO1 Balleta,Php500.00
M,26 Dec 2022 1405H,"166 Mayon St, Brgy Southside Palar, Makati City",Residential_Single/,Open Flame from Cooking (Firewood),Fireout Upon Arrival,Negative,," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php3,750.00"
W,28 Dec 2022 1229H,"Along Skyway Northbound, Magallanes, Makati City","Transport_Automobile Mitsubishi L300 Van, color white, ",Battery Short Circuit/Battery Explosion,Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php300,000.00"
SA,31 Dec 2022 2311H,"M.H. Del Pilar St, Zone 2 ,Brgy. Rizal, Makati City ",Non_Structural/Post Fire/Meralco,Electrical Ignition caused by Arcing,No Alarm,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla",Php200.00
TU,01 Nov 2022                                        1229H,"Blk 12 Lot 14 Pitimini St., Brgy. Pembo, Makati City ",Residential/Single Family Dwelling/,Unattended Lighted Candle,Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php3,000.00"
TU,01 Nov 2022                                        1539H,"8/F  VICTORIA DE MAKATI Washington cor. Dela Rosa Sts., Brgy. Pio Del Pilar, Makati City",21 Storey Condominium/,Electrical ignition caused by overloading,Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php3,000.00"
TU,01 Nov 2022                                        1912H,"#5015 Duran St., Brgy. Poblacion, Makati City ",2 Storey Non_Residential/Assembly,Electrical ignition caused by overloading,Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php3,000.00"
TU,01 Nov 2022                                        2045H,"5411 Curie St., Brgy. Palanan, Makati City",Residential/Single and Two Family Dwelling,Electrical ignition caused by overloading,Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php1,000.00"
TH,03 Nov 2022                                        1017H,"#7145-D Lanzones St., Brgy. Comembo, Makati City",Residential/Single and Two Family Dwelling/2 Storey,UNDER INVESTIGATION                               Cause: Electrical Ignition Caused by Arcing,1st Alarm,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php1,200,000.00"
TH,03 Nov 2022                                       1238H,"#4962 Enriques St., Brgy. Palanan, Makati City",Residential/Single and Two Family Dwelling/2 Storey/,UNDER INVESTIGATION                               Cause: Overheated laptop left unattended while charging,1st Alarm,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php3,000,000.00"
F,04 Nov 2022                                       1110H,"Mascardo cor. Evangelista Sts., Brgy. Bangkal, Makati City",Transport_Tricycle/ ,Overheated engine,Fire Out Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php1,000.00"
SA,05 Nov 2022                                        2212H,"#8418 Mayapis St., Brgy. San Antonio, Makati City",Residential/Single and Two Family Dwelling/2 Storey,Electrical ignition caused by overloading,Fire Out Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php1,000.00"
SU,06 Nov 2022                                       1109H,"Floraville cor. Pascua Sts., Brgy. Rizal, Makati City",Non_Residential/Mercantile,Open Flame from Cooking (Burner),Fire Out Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php1,000.00"
SU,07 Nov 2022                                        0528H,"#1206 C. Francisco St Brgy. Kasilawan, Maktai City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused by Arcing,Fire Out Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php1,000.00"
F,11 Nov 2022                                        0702H,"No. 102 Blk 3 Hidalgo St., Brgy. West Rembo, Makati City",Residential/Single and Two Family Dwelling/2 Storey/,Electrical Ignition caused by loosed connection,No Alarm,Negative,Negative,SFO1 Balleta/SFO1 Umnas/SFO1 Pacubat,Php500.00
M,14 Nov 2022                                        0515H,"# 6587 Washington St., Brgy. Pio Del Pilar, Makati City",Residential/Single and Two Family Dwelling/3 Storey/,Open Flame from Unattended Lighted Candle,Fire Out Upon Arrival,Negative,"Rolando Cosio - 75 y/o, suffered 1st Degree Burn on both arms",SFO1 Balleta/SFO1 Umnas/SFO1 Pacubat,"Php45,000.00"
W,16 Nov 2022                                        0229H,"1147 Antipolo St, Brgy Valenzuela, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused by Arcing,Fire Out Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, SFO1 Balleta ","Php1,000.00"
W,16 Nov 2022                                        1732H,"15H Tower 2 Paseo Parkview Suites, Valero St, Brgy. Bel-Air, Makati City",Residential_Condominium/15H Tower 2,Open Flame from Cooking ( stove)gas,Unreported/unresponded,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, SFO1 Balleta ","Php5,000.00"
TH,17 Nov 2022                                        1032H,"9238 Pateros St., Brgy. Valenzuela, Makati City",Residential_Single and Two Family Dwelling/,Electrical ignition caused by overloading,1st Alarm,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, SFO1 Balleta ","Php30,000.00"
TH,17 Nov 2022                                        1141H,"Burgos St., Brgy. Guadalupe Nuevo, Makati City",Non-Residential_Mercantile,Overheated Home Appliance,Fire Out Upon Arrival,Negative,Negative," SFO4 Dalmacio SFO1 Tuburan, SFO1 Balleta ","Php3,000.00"
TH,17 Nov 2022                                        1320H,"#6111 Albert St., Brgy. Poblacion, Makati City",Non-Residential_Mercantile/P,Overheated Home Appliance,Fire Out Upon Arrival,Negative,Negative," SFO4 Dalmacio SFO1 Tuburan, SFO1 Balleta ","Php3,000.00"
F,18 Nov 2022                                        2155H,"1221-C V Zamora St, Brgy Bangkal, Makati City",Residential_Single and Two Family Dwelling,Battery Short Circuit,Fire Out Upon Arrival,Negative,Negative," SFO4 Dalmacio SFO1 Tuburan, SFO1 Balleta ","Php48,000.00"
SU,20 Nov 2022                                        0154H,"#5514 D.M Rivera St., Brgy Poblacion Makati City",Residential_Single and Two Family Dwelling,Electrical Ignition caused by Arcing,Fire Out Upon Arrival,Negative,Negative," SFO4 Dalmacio SFO1 Tuburan, SFO1 Balleta ","Php1,000.00"
TU,22 Nov 2022                                        2015H,"Maximo P Provido 0005 A(B) Waling-Waling St., Zone 7, Brgy. Pembo, Makati City",Non_Structural/Post Fire/Meralco,Electrical ignition caused by Loosed connection,Fire Out Upon Arrival,Negative,Negative,"SFO4 Dalmacio, SFO1 Pacubat, SFO1 Umnas, SFO1 Balleta",Php500.00
F,25 Nov 2022                                        1126H,"482 Alagao St., Brgy. Comembo, Makati City",Residential_Single and Two Family Dwelling,Ignition of materials caused by welding slags,Fire Out Upon Arrival,Negative,Negative,"SFO4 Dalmacio, SFO1 Pacubat, SFO1 Umnas, SFO1 Balleta",Php500.00
F,25 Nov 2022                                        2106H,"Adela St., South sea Brgy., Rizal, Makati City",Non_Structural/Post Fire/Meralco,Electrical ignition caused by Loosed connection,Fire Out Upon Arrival,Negative,Negative,"SFO4 Dalmacio, SFO1 Pacubat, SFO1 Umnas, SFO1 Balleta",Php500.00
W,26 Nov 2022                                        1728H,"14 Guadalupe Bliss Bldg. 15, Brgy. Cembo, Makati City",Residential_Single and Two Family Dwelling,Electrical ignition caused by Loosed connection,Fire Out Upon Arrival,Negative,Negative,"SFO4 Dalmacio, SFO1 Pacubat, SFO1 Umnas, SFO1 Balleta",Php500.00
TH,27 Nov 2022                                        1142H,"Premiere The Samgyupsal Restaurant, Assembly Grounds, 2/F The Rise, Malugay St., Brgy. San Antonio, Makati City",Non-Residential_Assembly/,Open Flame from Cooking,Fire Out Upon Arrival,Negative,"1. Dharyl Hanna B Cerbo, 25 y/o, minor burns and difficulty of breathing                                                     2. Carl Dimaano, 24 y/o, minor burns and difficulty of breathing                                                                      3. Wendel Romines, 24 y/o, minor burns and difficulty of breathing","SFO4 Dalmacio, SFO1 Pacubat, SFO1 Umnas, SFO1 Balleta","Php5,000.00"
SU,02 Oct 2022                                        1920H,"Lot 7 Blk. 255, Zone 12, Emerald St., Brgy. Pembo, Makati City",Residential_Single Family Dwelling/,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO4 Dalmacio                        SFO1 Pacubat                             SFO1 Umnas                                  SFO1 Balleta                ,"Php2,000.00"
TH,06 Oct 2022                                        2143H,"Dungo St, Brgy Palanan,Makati City",Residential/2 Storey Single and Two Family Dwelling/2 Storey,Electrical ignition caused by overloading,,Negative,Negative,"SFO4 Macababayao, SFO1 Tuburan, FO3 Batalla","PhP1,000.00"
TH,06 Oct 2022                                        2342H,"Lariosa st, Brgy West Rembo, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical ignition caused by overloading,,Negative,Negative,"SFO4 Macababayao, SFO1 Tuburan, FO3 Batalla","Php1,000.00"
SA,08 Oct 2022                                        1439H,"Ansons 2304 Along Chino Roces Ave. Brgy. Magallanes, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical ignition caused by overloading,,Negative,Negative,"SFO4 Macababayao, SFO1 Tuburan, FO3 Batalla","PhP1,000.00"
SA,08 Oct 2022                                        2206H,"Belarmino cor. Rodriquez Sts., Brgy. Bangkal, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical ignition caused by overloading,,Negative,Negative,"SFO4 Macababayao, SFO1 Tuburan, FO3 Batalla","PhP1,000.00"
SU,09 Oct 2022                                       0804H,"G/F 3631 General Luna St, Bangkal, Makati",Non_Residential/Mercantile/Bubblyway Laundry Shop,Overheated Home Appliance,,Negative,Negative,"SFO4 Macababayao, SFO1 Tuburan, FO3 Batalla","PhP1,500.00"
TU,11 Oct 2022                                        1852H,"Honduras St., corner P. Binay Brgy. Pio del Pilar, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,"SFO4 Dalmacio, SFO1 Pacubat, SFO1 Umnas, FO3 Batalla",Php500.00
TH,13 Oct 2022                                        0520H,"E. Bonifaciio St., Brgy. Poblacion, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,"SFO4 Dalmacio, SFO1 Pacubat, SFO1 Umnas, FO3 Batalla",Php500.00
F,14 Oct 2022                                        1919H,"4050 Progreso St., Brgy Guadalupe Viejo, Makati City",Residential/Single Family Dwelling/,Electrical ignition caused by overloading,1st Alarm,Negative,Negative,"SFO4 Dalmacio, SFO1 Pacubat, SFO1 Umnas, FO3 Batalla","Php18,000.00"
W,19 Oct 2022                                       1640H,"Kalayaan Ave, Brgy. Guadalupe Nuevo, Makati City",Non_Structural/Rubbish,Other cause of fire incident,,Negative,Negative,"SFO4 Macababayao, SFO1 Tuburan, FO3 Batalla",Php0.00
TH,20 Oct 2022                                       1609H,"Pasong Tamo Cor. JP Rizal Sts., Brgy. Tejeros Makati City",Non_Structural/Electrical Pole/Meralco,Electrical ignition caused by overloading,,Negative,Negative,"SFO4 Macababayao, SFO1 Tuburan, FO3 Batalla","Php1,000.00"
F,21 Oct 2022                                        2312H,"Daffodil Extesion Brgy. Rizal, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical ignition caused by overloading,,Negative,Negative,"SFO4 Macababayao, SFO1 Tuburan, FO3 Batalla","Php1,000.00"
SA,22 Oct 2022                                        0710H,"Tylo cor. Dela Rosa Sts., Brgy. Pio Del Pilar, Makati City",Residential/Single Family Dwelling,Electrical Ignition caused by arcing,,Negative,Negative,"SFO4 Macababayao, SFO1 Tuburan, FO3 Batalla","Php1,000.00"
SA,22 Oct 2022                                        1759H,"#0052 A Flare Thrower St. Plar-Armor Village Brgy. Rizal, Makati City",Non_Residential/Mercantile/Dada's Lechon,Electrical ignition caused by overloading,,Negative,Negative,"SFO4 Macababayao, SFO1 Tuburan, FO3 Batalla","Php1,000.00"
SA,22 Oct 2022                                       2245H,"Kakarong cor. Montojo Sts., Brgy. Sta. Cruz, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical ignition caused by overloading,,Negative,Negative,"SFO4 Macababayao, SFO1 Tuburan, FO3 Batalla",Php500.00
SU,23 Oct 2022                                       0705H,"#18 JP Rizal St., Brgy. Comembo, Makati City",Non_Residential/2 Storey Mercantile/,UNDER INVESTIGATION                                    Cause: Electrical Ignition Caused by Overloading,1st Alarm,Negative,Negative,"SFO4 Macababayao, SFO1 Tuburan, FO3 Batalla","Php540,000.00"
SU,23 Oct 2022                                       1137H,"#5136 Zamora St., Brgy. Poblacion, Makati City",Non_Residential/Mercantile/Candy's Food Delivery,UNDER INVESTIGATION                                    Cause: Open flame from high temperature flame torch which accicdentally lip up the LPG hose line,1st Alarm,Negative,Negative,"SFO4 Macababayao, SFO1 Tuburan, FO3 Batalla","Php1,605,000.00"
TU,25 Oct 2022                                     1635H,"#0081 MH Del Pilar, Brgy. Rizal, Makati City",Residential/Single Family Dwelling/,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO4 Dalmacio                        SFO1 Pacubat                             SFO1 Umnas                                  SFO1 Balleta                ,Php500.00
TU,25 Oct 2022                                       2304H,"1634 Camino dela Fe St., Brgy. Guadalupe Nuevo, Makati City",Residential/Single Family Dwelling/,Open flame ffrom cooking/LPG/Gas Stove,,Negative,Negative,SFO4 Dalmacio                        SFO1 Pacubat                             SFO1 Umnas                                  SFO1 Balleta                ,Php300.00
F,28 Oct 2022                                       0932H,"Gentleman Restaurant, #48 Polaris  Center, Polaris St., Brgy. Poblacion, Makati City",Non_Residential/Assembly/,Open flame ffrom cooking/LPG/Gas Stove,,Negative,Negative,SFO4 Macababayao                       SFO1 Pacubat                             SFO1 Umnas                                  SFO1 Balleta                ,"Php80,000.00"
F,28 Oct 2022                                       2035H,"SLEX Skyway, Brgy. Magallanes, Makati City",Transport/Automobile/,Battery Short Circuit,,Negative,Negative,SFO4 Macababayao                       SFO1 Pacubat                             SFO1 Umnas                                  SFO1 Balleta                ,"Php20,000.00"
SA,29 Oct 2022                                      1800H,"5538 Boyle St.,Brgy. Palanan",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO4 Macababayao                       SFO1 Pacubat                             SFO1 Umnas                                  SFO1 Balleta                ,Php500.00
SA,29 Oct 2022                                      2005H,"7125 M Ocampo St., Brgy. Pio del Pilar, Makati City",Residential/Single Family Dwelling/,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO4 Macababayao                       SFO1 Pacubat                             SFO1 Umnas                                  SFO1 Balleta                ,Php500.00
SA,29 Oct 2022                                       2142H,"Dalandan St., Brgy West Rembo, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO4 Macababayao                       SFO1 Pacubat                             SFO1 Umnas                                  SFO1 Balleta                ,Php500.00
TH,01 Sep 2022                                        2020H,"Osmena Highway cor. Arnaiz St., Brgy. Pio del Pilar, Makati City","Transport_Automobile/Toyota Vios,Black, ",Overheated Motor Engine,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta/SFO1 Umnas,"Php10,000.00"
SA,1252H 03 Sep 2022,"Ivory St., Brgy. Rizal, Makati City",Structural/Residential/Single Family Dwelling,Electrical Ignition caused by loosed connection,storeys,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta/SFO1 Umnas,Php500.00
TU,06 Sep 2022                                        0622H,"EDSA Estrella (South Bound) Brgy. Guadalupe Nuevo, Makati City","Transport_Automobile/Pajero, Color Red with Plate No. ",Electrical Ignition caused by loosed connection,,Negative,Negative,SFO4 Macababayao / SFO1 Tuburan/FO3 Batalla,"Php5,000.00"
W,07 Sep 2022                                        1733H,"Martinez Unidos St., Brgy. Sta. Cruz, Makati City",Non_Structural/Electrical Pole/Meralco ,Electrical Ignition caused by arcing,,Negative,Negative,SFO4 Macababayao / SFO1 Tuburan/FO3 Batalla,"PhP1,000.00"
W,07 Sep 2022                                        1912H,"Davila Bliss, Brgy. Sta. Cruz, Makati City",Non_Structural/Electrical Pole/Meralco ,Electrical Ignition caused by arcing,,Negative,Negative,SFO4 Macababayao / SFO1 Tuburan/FO3 Batalla,"PhP1,000.00"
TH,08 Sep 2022                                        0735H,"401 Anahaw St., Brgy. Comembo, Makati City",Non_Residential/Mercantile/Riclyn's Bakery,Electrical Ignition caused by loosed connection,FSIC,Negative,Negative,SFO4 Macababayao / SFO1 Tuburan/FO3 Batalla,"PhP2,000.00"
TH,08 Sep 2022                                        1620H,"4672 Evangelista cor. Cuanco St., Brgy. Pio Del Pilar, Makati City",2-Storey Non_ResidentialStorage/                                           No. of Affected Structure:1,Fire Under Investigation                 Cause: Ignition of Materials Caused byAcetylene,,Negative,Negative,SFO4 Macababayao / SFO1 Tuburan/FO3 Batalla,"Php150,000.00"
F,09 Sep 2022                                        0335H,"Block 28 Lot 2 Zone 6 Tarhata cor. Sampaguita Sts., Brgy. Pembo, Makati City",Non_Residential/Mercantile/ ,Electrical Ignition caused by loosed connection,No. of Affected structure FSIC,Negative,Negative,SFO4 Macababayao / SFO1 Tuburan/FO3 Batalla,"Php45,000.00"
SA,10 Sep 2022                                        2217H,"89-B A. Bonifacio St., Brgy. Valenzuela, Makati City",Non_Structural/Electrical Pole/Meralco ,Electrical Ignition caused by arcing,,Negative,Negative,SFO4 Macababayao / SFO1 Tuburan/FO3 Batalla,"Php1,000.00"
TH,15 Sep 2022                                        0114H,"Gen. Luna St., cor. Makati Ave., Brgy. Poblacion, Makati City",Non_Structural/Electrical Pole/Meralco ,Electrical Ignition caused by arcing,,Negative,Negative,SFO4 Dalmacio/SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,Php500.00
TH,15 Sep 2022                                        0805H,"Pililia cor. Kalayaan St., Brgy. STA. Cruz, Makati City",Non_Structural/Electrical Pole/Meralco ,Electrical Ignition caused by arcing,,Negative,Negative,SFO4 Dalmacio/SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,Php500.00
SA,17 Sep 2022                                        1922H,"9214 Pateros St., Brgy. Valenzuela, Makati City",Residential/Single Family Dwelling/                    ,Overheated Home Appliances,storeys? ,Negative,Negative,SFO4 Dalmacio/SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,"Php2,000.00"
M,19 Sep 2022                                        0003H,"1070 Delpan St., Brgy. Kasilawan, Makati City",Structural/Residential/Single Family Dwelling                                       Suspect is At-Large ( For Regular Filing),                                                        Arson/Intentional Fire by used of Open Flame coming from a lighter or matchsticks,,Negative,Negative,SFO4 Dalmacio/SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,"Php1,000.00"
M,19 Sep 2022                                        1736H,"3307 Matanzas St.,Brgy. Palanan, Makati City",Structural/Residential/Single Family Dwelling,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO4 Dalmacio/SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,"Php1,000.00"
TU,20 Sep 2022                                        1621H,"#2907-A South Ave., Brgy. Olympia, Makati City",4-Storey Residential/Single Family Dwelling/,Open Flame from Cooking (Burner),,Negative,Negative,SFO4 Macababayao/SFO1 Tuburan/FO3 Batalla,"Php1,000.00"
