DAY,HOUR,ALARM_LEVEL,TEMPERATURE,HUMIDITY,DISTRICT1,ENTITIES_nonresidential,ENTITIES_nonstructural,ENTITIES_residential,ENTITIES_structural,ENTITIES_transport,FIRE_ORIGIN_battery short circuit,FIRE_ORIGIN_electrical ignition,FIRE_ORIGIN_ignition of materials,FIRE_ORIGIN_lighted cigarette,FIRE_ORIGIN_open flame,FIRE_ORIGIN_others,FIRE_ORIGIN_overheated engine,ESTIMATED_PHP_LOSS
2,22,fireout upon arrival,28,0.7,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
2,21,fireout upon arrival,28,0.7,1,0,0,1,0,0,0,1,0,0,0,0,0,1000
5,16,1st alarm,30,0.7,0,0,0,1,0,0,0,0,0,0,1,0,0,5000
5,16,1st alarm,30,0.7,1,0,0,1,0,0,0,0,0,0,0,1,0,25000
7,11,fireout upon arrival,31,0.59,0,0,1,0,0,0,0,1,0,0,0,0,0,500
8,4,fireout upon arrival,26,0.79,0,0,0,1,0,0,0,0,0,0,0,1,0,500
8,7,fireout upon arrival,26,0.79,1,1,0,0,0,0,0,1,0,0,0,0,0,1000
10,19,fireout upon arrival,26,0.94,0,0,1,0,0,0,0,1,0,0,0,0,0,500
10,20,fireout upon arrival,25,0.94,0,0,0,1,0,0,0,1,0,0,0,0,0,500
12,10,1st alarm,28,0.79,0,0,0,1,0,0,0,0,0,0,0,1,0,180000
12,20,fireout upon arrival,27,0.79,0,0,0,1,0,0,0,0,0,0,1,0,0,500
12,22,no alarm,27,0.84,1,0,0,1,0,0,0,0,0,0,1,0,0,600
14,18,fireout upon arrival,27,0.89,1,1,0,0,0,0,0,0,1,0,0,0,0,1000
15,12,fireout upon arrival,33,0.59,1,0,0,0,0,1,0,0,1,0,0,0,0,1000
15,16,no alarm,30,0.66,1,0,1,0,0,0,0,0,0,1,0,0,0,0
18,22,fireout upon arrival,27,0.66,0,0,0,1,0,0,0,0,0,0,1,0,0,1000
20,22,no alarm,26,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,500
21,0,fireout upon arrival,25,0.94,1,1,0,0,0,0,0,0,0,0,1,0,0,500
23,15,no alarm,29,0.51,1,0,0,0,0,1,0,1,0,0,0,0,0,10000
24,13,no alarm,30,0.52,0,0,0,1,0,0,0,0,0,0,1,0,0,200
24,18,fireout upon arrival,26,0.58,1,0,1,0,0,0,0,1,0,0,0,0,0,500
26,14,fireout upon arrival,28,0.58,0,0,0,1,0,0,0,0,0,0,1,0,0,3750
28,12,fireout upon arrival,28,0.66,1,0,0,0,0,1,1,0,0,0,0,0,0,300000
31,23,no alarm,26,0.84,0,0,1,0,0,0,0,1,0,0,0,0,0,200
1,12,fireout upon arrival,30,0.7,0,0,0,1,0,0,0,0,0,0,0,1,0,3000
1,15,fireout upon arrival,29,0.79,1,0,0,1,0,0,0,1,0,0,0,0,0,3000
1,19,fireout upon arrival,28,0.74,1,1,0,0,0,0,0,1,0,0,0,0,0,3000
1,20,fireout upon arrival,27,0.79,1,0,0,1,0,0,0,1,0,0,0,0,0,1000
3,10,1st alarm,29,0.74,0,0,0,1,0,0,0,1,0,0,0,0,0,1200000
3,12,1st alarm,31,0.7,1,0,0,1,0,0,0,0,0,0,0,0,1,3000000
4,11,fireout upon arrival,32,0.59,1,0,0,0,0,1,0,0,0,0,0,0,1,1000
5,22,fireout upon arrival,27,0.79,1,0,0,1,0,0,0,1,0,0,0,0,0,1000
6,11,fireout upon arrival,30,0.62,0,1,0,0,0,0,0,0,0,0,1,0,0,1000
7,5,fireout upon arrival,26,0.84,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
11,7,no alarm,27,0.84,0,0,0,1,0,0,0,1,0,0,0,0,0,500
14,5,fireout upon arrival,27,0.79,1,0,0,1,0,0,0,0,0,0,1,0,0,45000
16,2,fireout upon arrival,25,0.94,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
16,17,missing,30,0.7,1,0,0,1,0,0,0,0,0,0,1,0,0,5000
17,10,1st alarm,31,0.66,1,0,0,1,0,0,0,1,0,0,0,0,0,30000
17,11,fireout upon arrival,29,0.79,0,1,0,0,0,0,0,0,0,0,0,0,1,3000
17,13,fireout upon arrival,30,0.74,1,1,0,0,0,0,0,0,0,0,0,0,1,3000
18,21,fireout upon arrival,27,0.84,1,0,0,1,0,0,1,0,0,0,0,0,0,48000
20,1,fireout upon arrival,25,0.94,1,0,0,1,0,0,0,1,0,0,0,0,0,1000
22,20,fireout upon arrival,28,0.74,0,0,1,0,0,0,0,1,0,0,0,0,0,500
25,11,fireout upon arrival,30,0.66,0,0,0,1,0,0,0,0,1,0,0,0,0,500
25,21,fireout upon arrival,28,0.74,0,0,1,0,0,0,0,1,0,0,0,0,0,500
26,17,fireout upon arrival,31,0.62,0,0,0,1,0,0,0,1,0,0,0,0,0,500
27,11,fireout upon arrival,31,0.62,1,1,0,0,0,0,0,0,0,0,1,0,0,5000
2,19,missing,29,0.66,0,0,0,1,0,0,0,1,0,0,0,0,0,2000
6,21,missing,29,0.74,1,0,0,1,0,0,0,1,0,0,0,0,0,1000
6,23,missing,29,0.74,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
8,14,missing,31,0.62,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
8,22,missing,29,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
9,8,missing,28,0.79,1,1,0,0,0,0,0,0,0,0,0,1,0,1500
11,18,missing,29,0.74,1,0,1,0,0,0,0,1,0,0,0,0,0,500
13,5,missing,27,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,500
14,19,1st alarm,30,0.75,0,0,0,1,0,0,0,1,0,0,0,0,0,18000
19,16,missing,29,0.79,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20,16,missing,28,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
21,23,missing,28,0.84,0,0,1,0,0,0,0,1,0,0,0,0,0,1000
22,7,missing,27,0.89,1,0,0,1,0,0,0,1,0,0,0,0,0,1000
22,17,missing,31,0.7,0,1,0,0,0,0,0,1,0,0,0,0,0,1000
22,22,missing,28,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,500
23,7,1st alarm,28,0.79,0,1,0,0,0,0,0,1,0,0,0,0,0,540000
23,11,1st alarm,33,0.56,1,1,0,0,0,0,0,0,0,0,1,0,0,1605000
25,16,missing,25,0.94,0,0,0,1,0,0,0,1,0,0,0,0,0,500
25,23,missing,24,1,0,0,0,1,0,0,0,0,0,0,1,0,0,300
28,9,missing,29,0.66,1,1,0,0,0,0,0,0,0,0,1,0,0,80000
28,20,missing,27,0.84,1,0,0,0,0,1,1,0,0,0,0,0,0,20000
29,18,missing,25,1,1,0,1,0,0,0,0,1,0,0,0,0,0,500
29,20,missing,25,1,1,0,0,1,0,0,0,1,0,0,0,0,0,500
29,21,missing,24,1,1,0,1,0,0,0,0,1,0,0,0,0,0,500
1,20,missing,28,0.84,1,0,0,0,0,1,0,0,0,0,0,0,1,10000
3,12,missing,24,1,0,0,0,0,1,0,0,1,0,0,0,0,0,500
6,6,missing,27,0.89,0,0,0,0,0,1,0,1,0,0,0,0,0,5000
7,17,missing,33,0.63,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
7,19,missing,31,0.7,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
8,7,missing,29,0.79,0,1,0,0,0,0,0,1,0,0,0,0,0,2000
8,16,missing,34,0.56,1,1,0,0,0,0,0,0,1,0,0,0,0,150000
9,3,missing,26,0.94,0,1,0,0,0,0,0,1,0,0,0,0,0,45000
10,22,missing,27,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
15,1,missing,26,0.94,1,0,1,0,0,0,0,1,0,0,0,0,0,500
15,8,missing,28,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,500
17,19,missing,28,0.84,1,0,0,1,0,0,0,0,0,0,0,0,1,2000
19,0,missing,25,0.94,1,0,0,0,1,0,0,0,0,0,0,1,0,1000
19,17,missing,25,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1000
20,16,missing,27,0.84,1,0,0,1,0,0,0,0,0,0,1,0,0,1000
22,10,missing,30,0.7,0,0,0,0,1,0,0,0,0,0,1,0,0,300
26,2,missing,23,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1000
28,9,1st alarm,28,0.79,1,1,0,0,0,0,0,1,0,0,0,0,0,5000
30,6,missing,27,0.84,0,0,0,1,0,0,0,1,0,0,0,0,0,500
30,9,missing,27,0.84,1,0,0,1,0,0,0,0,1,0,0,0,0,500
30,12,1st alarm,31,0.62,1,1,0,0,0,0,0,1,0,0,0,0,0,400000
5,13,missing,26,0.94,0,0,1,0,0,0,0,1,0,0,0,0,0,500
5,14,missing,26,0.94,0,0,1,0,0,0,0,1,0,0,0,0,0,500
5,22,missing,25,0.94,0,0,1,0,0,0,0,1,0,0,0,0,0,500
5,23,missing,25,0.94,1,0,0,1,0,0,0,1,0,0,0,0,0,500
9,18,missing,30,0.75,1,0,1,0,0,0,0,0,0,1,0,0,0,200
10,3,missing,26,0.89,0,1,0,0,0,0,0,1,0,0,0,0,0,200
11,21,missing,27,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,200
13,14,missing,32,0.71,0,1,0,0,0,0,0,0,0,0,1,0,0,200
13,23,missing,26,0.89,0,1,0,0,0,0,0,1,0,0,0,0,0,1200000
14,4,missing,26,0.89,1,0,0,1,0,0,0,1,0,0,0,0,0,500
15,14,missing,26,0.94,1,0,0,1,0,0,0,1,0,0,0,0,0,500
16,12,missing,30,0.75,1,1,0,0,0,0,0,0,0,0,0,1,0,5000
18,8,missing,28,0.84,1,1,0,0,0,0,0,0,1,0,0,0,0,2000
18,19,missing,26,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,500
22,19,1st alarm,27,0.84,1,0,0,1,0,0,0,0,0,0,0,1,0,400000
23,7,missing,25,0.94,1,0,0,1,0,0,0,1,0,0,0,0,0,48000
24,19,missing,28,0.84,0,0,0,1,0,0,0,0,0,0,1,0,0,2000
25,3,missing,26,0.94,0,0,0,0,0,1,0,0,0,0,0,1,0,50000
25,16,missing,33,0.63,0,0,0,1,0,0,0,1,0,0,0,0,0,2000
25,22,missing,29,0.79,0,0,1,0,0,0,0,1,0,0,0,0,0,1000
28,20,missing,26,0.94,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
29,15,missing,32,0.71,1,0,0,0,1,0,0,0,0,0,0,0,1,5000
3,21,missing,30,0.79,0,0,0,0,0,1,0,0,0,0,0,0,1,5000
4,19,missing,27,0.89,0,0,1,0,0,0,0,1,0,0,0,0,0,500
5,15,missing,31,0.66,0,0,1,0,0,0,0,0,0,1,0,0,0,500
5,21,missing,29,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,500
6,15,missing,27,0.94,0,0,1,0,0,0,0,1,0,0,0,0,0,500
7,22,missing,27,0.94,1,0,1,0,0,0,0,1,0,0,0,0,0,500
10,20,missing,29,0.79,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11,17,missing,31,0.75,1,1,0,0,0,0,0,0,0,0,0,0,1,54000
15,15,missing,32,0.71,1,0,0,0,0,1,0,1,0,0,0,0,0,50000
16,21,missing,25,0.94,0,0,1,0,0,0,0,1,0,0,0,0,0,500
18,11,missing,30,0.75,0,0,1,0,0,0,0,1,0,0,0,0,0,500
18,21,missing,26,0.94,0,0,1,0,0,0,0,1,0,0,0,0,0,500
21,8,missing,26,0.89,0,0,1,0,0,0,0,1,0,0,0,0,0,500
21,16,1st alarm,29,0.74,1,1,0,0,0,0,0,0,0,0,0,1,0,1600000
23,14,missing,32,0.71,0,0,0,1,0,0,0,0,0,1,0,0,0,1500
26,3,2nd alarm,27,0.89,0,0,0,1,0,0,0,0,0,0,0,1,0,30000
26,3,missing,27,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,500
27,11,missing,30,0.75,1,0,1,0,0,0,0,0,0,1,0,0,0,200
27,14,missing,32,0.67,1,0,0,0,0,1,0,0,0,0,0,0,1,5000
27,20,missing,29,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,500
29,14,1st alarm,30,0.75,1,1,0,0,0,0,0,1,0,0,0,0,0,700000
31,14,missing,28,0.89,0,0,1,0,0,0,0,1,0,0,0,0,0,500
3,21,missing,29,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,200
3,21,missing,29,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,200
5,21,missing,29,0.79,0,0,1,0,0,0,0,1,0,0,0,0,0,200
6,22,missing,29,0.79,0,0,1,0,0,0,0,1,0,0,0,0,0,500
9,11,missing,33,0.63,0,0,0,0,0,1,1,0,0,0,0,0,0,1000
10,5,missing,28,0.79,0,0,1,0,0,0,0,1,0,0,0,0,0,500
12,14,1st alarm,33,0.71,0,0,0,1,0,0,0,1,0,0,0,0,0,5000
14,23,missing,26,0.94,0,0,1,0,0,0,0,1,0,0,0,0,0,0
15,0,missing,27,0.89,0,0,1,0,0,0,0,1,0,0,0,0,0,0
17,0,missing,29,0.74,1,0,1,0,0,0,0,1,0,0,0,0,0,200
18,23,missing,28,0.84,1,0,1,0,0,0,0,1,0,0,0,0,0,200
19,18,missing,26,0.89,0,0,1,0,0,0,0,1,0,0,0,0,0,200
20,13,missing,31,0.7,1,0,1,0,0,0,0,1,0,0,0,0,0,500
20,14,missing,31,0.75,1,0,1,0,0,0,0,1,0,0,0,0,0,500
20,21,missing,30,0.75,0,0,1,0,0,0,0,1,0,0,0,0,0,500
20,23,missing,28,0.84,0,0,1,0,0,0,0,1,0,0,0,0,0,500
21,20,missing,28,0.7,1,0,1,0,0,0,0,1,0,0,0,0,0,500
22,3,missing,28,0.84,0,0,1,0,0,0,0,1,0,0,0,0,0,500
22,23,missing,27,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,500
22,23,missing,27,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,500
23,22,missing,28,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,500
24,18,missing,31,0.7,1,0,1,0,0,0,0,1,0,0,0,0,0,500
26,3,missing,27,0.89,0,0,1,0,0,0,0,0,0,1,0,0,0,0
28,11,missing,27,0.94,1,0,1,0,0,0,0,1,0,0,0,0,0,200
28,19,missing,25,1,0,0,1,0,0,0,0,1,0,0,0,0,0,200
3,21,missing,30,0.66,1,0,0,1,0,0,0,1,0,0,0,0,0,500
4,8,missing,31,0.62,0,0,0,1,0,0,0,0,0,0,1,0,0,500
8,2,missing,29,0.74,1,0,1,0,0,0,0,1,0,0,0,0,0,500
8,15,missing,35,0.53,1,0,1,0,0,0,0,0,0,1,0,0,0,0
9,0,missing,29,0.74,0,0,1,0,0,0,0,1,0,0,0,0,0,500
9,12,missing,35,0.53,1,0,1,0,0,0,0,0,0,0,0,0,1,10000
10,23,missing,30,0.66,1,0,1,0,0,0,0,0,0,1,0,0,0,0
11,11,missing,33,0.59,1,0,1,0,0,0,0,0,0,1,0,0,0,0
11,19,missing,31,0.66,1,0,1,0,0,0,0,0,0,1,0,0,0,0
12,7,missing,30,0.7,1,0,1,0,0,0,0,0,0,0,0,0,1,1000
13,19,missing,31,0.66,1,0,1,0,0,0,0,1,0,0,0,0,0,500
14,4,missing,29,0.84,1,0,0,1,0,0,0,0,0,0,0,1,0,5000
14,13,missing,34,0.56,0,0,1,0,0,0,0,0,0,1,0,0,0,0
14,23,missing,29,0.84,1,0,1,0,0,0,0,1,0,0,0,0,0,500
15,15,missing,25,1,0,0,1,0,0,0,0,1,0,0,0,0,0,500
17,19,missing,26,0.94,1,1,0,0,0,0,0,0,0,0,0,1,0,1000
22,18,missing,27,0.79,1,0,1,0,0,0,0,0,0,1,0,0,0,200
24,21,missing,29,0.74,0,0,1,0,0,0,0,1,0,0,0,0,0,500
24,22,missing,29,0.74,0,0,1,0,0,0,0,1,0,0,0,0,0,500
25,21,missing,29,0.74,1,0,1,0,0,0,0,1,0,0,0,0,0,500
26,19,missing,30,0.79,0,0,0,1,0,0,0,1,0,0,0,0,0,20000
27,19,missing,29,0.74,0,0,1,0,0,0,0,1,0,0,0,0,0,500
28,5,missing,27,0.89,1,0,0,1,0,0,0,1,0,0,0,0,0,30000
28,18,missing,28,0.84,0,0,0,0,0,1,1,0,0,0,0,0,0,10000
30,11,1st alarm,33,0.63,1,1,0,0,0,0,0,0,0,0,1,0,0,20000
31,20,missing,29,0.79,0,0,1,0,0,0,0,1,0,0,0,0,0,500
31,23,missing,29,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,500
1,14,missing,30,0.7,0,0,0,1,0,0,0,0,0,0,0,0,1,5000
1,18,1st alarm,30,0.66,1,1,0,0,0,0,0,0,0,0,1,0,0,20000
3,10,missing,31,0.52,1,1,0,0,0,0,0,0,0,0,0,1,0,1000
5,8,missing,25,0.94,1,0,1,0,0,0,0,1,0,0,0,0,0,500
6,2,missing,24,1,1,0,1,0,0,0,0,1,0,0,0,0,0,500
7,14,missing,32,0.63,0,0,1,0,0,0,0,1,0,0,0,0,0,500
7,18,missing,30,0.66,1,0,1,0,0,0,0,1,0,0,0,0,0,500
7,21,missing,28,0.74,1,1,0,0,0,0,0,0,0,0,1,0,0,500
7,21,missing,28,0.74,0,0,1,0,0,0,0,1,0,0,0,0,0,500
10,20,missing,29,0.74,1,0,1,0,0,0,0,1,0,0,0,0,0,200
11,13,1st alarm,31,0.59,0,0,0,1,0,0,0,0,0,0,0,1,0,250000
15,0,missing,28,0.79,0,0,1,0,0,0,0,1,0,0,0,0,0,500
16,9,1st alarm,30,0.66,1,0,0,1,0,0,0,0,0,0,0,0,1,10000
16,16,missing,31,0.66,0,0,1,0,0,0,0,1,0,0,0,0,0,500
17,12,missing,29,0.74,1,0,0,0,0,1,1,0,0,0,0,0,0,30000
17,3,missing,28,0.74,1,0,0,1,0,0,0,0,0,0,1,0,0,500
18,17,missing,31,0.62,0,0,1,0,0,0,0,1,0,0,0,0,0,500
19,0,2nd alarm,27,0.74,1,1,0,0,0,0,0,0,0,0,0,1,0,16000000
22,19,missing,31,0.62,1,0,1,0,0,0,0,1,0,0,0,0,0,500
23,18,missing,31,0.62,1,0,1,0,0,0,0,0,0,1,0,0,0,0
24,21,missing,29,0.74,1,0,1,0,0,0,0,1,0,0,0,0,0,500
25,11,missing,31,0.66,1,0,1,0,0,0,0,1,0,0,0,0,0,500
25,14,missing,34,0.59,1,0,1,0,0,0,0,1,0,0,0,0,0,500
26,12,missing,34,0.56,1,0,1,0,0,0,0,1,0,0,0,0,0,500
28,12,2nd alarm,34,0.56,1,0,0,1,0,0,0,1,0,0,0,0,0,3000000
29,8,missing,31,0.7,1,0,0,1,0,0,0,0,0,0,0,1,0,400
29,23,missing,30,0.7,1,0,1,0,0,0,0,1,0,0,0,0,0,500
2,7,1st alarm,25,0.69,1,0,0,1,0,0,0,1,0,0,0,0,0,500000
6,10,missing,31,0.55,0,0,1,0,0,0,0,1,0,0,0,0,0,200
10,8,missing,26,0.74,1,0,1,0,0,0,0,0,0,1,0,0,0,0
10,19,missing,29,0.62,1,0,1,0,0,0,0,0,0,1,0,0,0,0
12,20,missing,27,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,500
12,22,missing,28,0.84,0,0,1,0,0,0,0,1,0,0,0,0,0,500
13,2,missing,26,0.94,0,0,0,1,0,0,0,1,0,0,0,0,0,500
13,22,missing,28,0.79,0,0,1,0,0,0,0,1,0,0,0,0,0,500
15,13,missing,32,0.67,1,0,0,1,0,0,0,0,0,0,1,0,0,5000
17,14,missing,34,0.56,0,0,0,0,0,1,0,0,0,0,0,1,0,50000
17,17,1st alarm,33,0.63,0,1,0,0,0,0,0,1,0,0,0,0,0,978983
21,11,missing,32,0.63,1,1,0,0,0,0,0,0,0,0,0,0,1,1000
22,0,missing,28,0.7,1,1,0,0,0,0,0,0,0,0,1,0,0,500
22,10,missing,33,0.59,1,1,0,0,0,0,0,0,0,1,0,0,0,10000
23,23,missing,28,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,500
25,17,2nd alarm,33,0.59,1,1,0,0,0,0,0,0,0,0,0,1,0,4000000
26,3,missing,28,0.7,0,0,1,0,0,0,0,1,0,0,0,0,0,500
26,20,1st alarm,30,0.7,1,0,0,1,0,0,0,1,0,0,0,0,0,400000
27,13,missing,34,0.56,1,0,1,0,0,0,0,0,0,1,0,0,0,0
27,15,missing,34,0.53,0,1,0,0,0,0,0,1,0,0,0,0,0,500
28,19,missing,30,0.66,1,0,1,0,0,0,0,0,1,0,0,0,0,10000
31,0,missing,28,0.74,1,0,1,0,0,0,0,1,0,0,0,0,0,200
31,8,missing,27,0.65,0,0,0,0,0,1,1,0,0,0,0,0,0,10000
2,10,missing,30,0.59,1,0,1,0,0,0,0,1,0,0,0,0,0,200
4,15,missing,32,0.49,0,0,0,1,0,0,0,0,0,0,0,1,0,5000
4,20,2nd alarm,28,0.66,1,1,0,0,0,0,0,0,0,0,0,1,0,101109576
5,21,missing,27,0.66,0,0,1,0,0,0,0,1,0,0,0,0,0,500
6,13,missing,32,0.52,1,0,1,0,0,0,0,0,0,1,0,0,0,500
7,18,missing,28,0.74,1,0,1,0,0,0,0,1,0,0,0,0,0,500
7,19,missing,27,0.79,0,0,1,0,0,0,0,1,0,0,0,0,0,500
8,11,1st alarm,32,0.59,1,0,0,1,0,0,0,0,0,0,0,0,1,40000
8,16,missing,31,0.62,0,0,1,0,0,0,0,1,0,0,0,0,0,500
8,19,missing,29,0.7,0,1,0,0,0,0,0,0,0,0,0,1,0,500
9,14,missing,32,0.52,1,0,1,0,0,0,0,0,0,1,0,0,0,0
11,2,missing,26,0.74,1,0,0,1,0,0,0,1,0,0,0,0,0,10000
14,9,missing,27,0.79,1,0,1,0,0,0,0,0,0,1,0,0,0,0
17,13,missing,31,0.62,1,0,0,1,0,0,0,0,0,0,1,0,0,500
17,15,missing,31,0.62,1,0,1,0,0,0,0,0,0,1,0,0,0,0
17,17,missing,29,0.7,0,0,1,0,0,0,0,1,0,0,0,0,0,500
20,4,2nd alarm,27,0.74,0,1,0,0,0,0,0,0,0,0,0,1,0,4000000
20,18,missing,29,0.66,1,0,1,0,0,0,0,0,0,1,0,0,0,0
21,15,missing,32,0.59,0,0,0,1,0,0,0,1,0,0,0,0,0,500
23,20,missing,28,0.66,0,0,1,0,0,0,0,1,0,0,0,0,0,200
27,11,missing,30,0.62,1,1,0,0,0,0,0,1,0,0,0,0,0,5000
1,0,missing,25,0.74,1,0,1,0,0,0,0,0,0,1,0,0,0,0
3,13,missing,30,0.49,1,0,0,1,0,0,0,1,0,0,0,0,0,100
3,18,missing,27,0.58,1,0,1,0,0,0,0,1,0,0,0,0,0,200
7,13,missing,31,0.55,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8,10,missing,29,0.66,1,0,0,1,0,0,0,0,0,0,0,1,0,1000
9,22,missing,26,0.84,1,0,1,0,0,0,0,0,0,1,0,0,0,0
10,13,missing,29,0.7,0,0,0,1,0,0,0,0,0,0,1,0,0,200
11,0,missing,26,0.84,1,1,0,0,0,0,0,0,1,0,0,0,0,0
13,11,missing,28,0.79,0,0,0,1,0,0,0,0,0,0,0,1,0,200
14,0,1st alarm,25,0.74,1,1,0,0,0,0,0,0,0,0,0,0,1,10000
16,11,missing,30,0.59,0,0,1,0,0,0,0,0,0,1,0,0,0,0
17,20,missing,25,0.74,1,0,0,1,0,0,0,1,0,0,0,0,0,500
18,19,missing,26,0.65,1,0,0,1,0,0,0,0,0,0,1,0,0,5000
19,13,missing,29,0.62,1,0,0,0,0,1,0,1,0,0,0,0,0,500
23,1,missing,27,0.79,0,0,1,0,0,0,0,0,0,1,0,0,0,0
23,17,missing,30,0.66,0,0,1,0,0,0,0,1,0,0,0,0,0,500
24,4,missing,26,0.84,0,0,1,0,0,0,0,1,0,0,0,0,0,500
24,6,missing,25,0.89,0,0,0,0,0,1,0,1,0,0,0,0,0,5000
26,16,missing,26,0.94,0,0,0,1,0,0,0,1,0,0,0,0,0,500
26,18,missing,25,1,1,0,1,0,0,0,0,1,0,0,0,0,0,200
26,21,missing,26,0.94,0,0,0,1,0,0,0,0,0,0,1,0,0,500
27,18,missing,29,0.74,0,0,0,0,0,1,1,0,0,0,0,0,0,15000
29,15,missing,31,0.66,0,1,0,0,0,0,0,1,0,0,0,0,0,10000
30,19,missing,27,0.84,1,1,0,0,0,0,0,0,0,0,1,0,0,5000
